Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
SRR5364316_1	(2.0, 166.0)	(3.0, 462.0)	(4.0, 792.0)	(5.0, 958.0)	(6.0, 1324.0)	(7.0, 1880.0)	(8.0, 3107.0)	(9.0, 5071.0)	(10.0, 6699.0)	(11.0, 7556.0)	(12.0, 8484.0)	(13.0, 9331.0)	(14.0, 10416.0)	(15.0, 11718.0)	(16.0, 13150.0)	(17.0, 14579.0)	(18.0, 16146.0)	(19.0, 17462.0)	(20.0, 19365.0)	(21.0, 21668.0)	(22.0, 25163.0)	(23.0, 30200.0)	(24.0, 38312.0)	(25.0, 50973.0)	(26.0, 69216.0)	(27.0, 94388.0)	(28.0, 129087.0)	(29.0, 174593.0)	(30.0, 238139.0)	(31.0, 328891.0)	(32.0, 468971.0)	(33.0, 719680.0)	(34.0, 1291893.0)	(35.0, 3556340.0)	(36.0, 38113311.0)
SRR5364316_2	(2.0, 13602.0)	(3.0, 15080.0)	(4.0, 15127.0)	(5.0, 12656.0)	(6.0, 11760.0)	(7.0, 11627.0)	(8.0, 12325.0)	(9.0, 13787.0)	(10.0, 14395.0)	(11.0, 15794.0)	(12.0, 16210.0)	(13.0, 17193.0)	(14.0, 18391.0)	(15.0, 19764.0)	(16.0, 21359.0)	(17.0, 23434.0)	(18.0, 25816.0)	(19.0, 27718.0)	(20.0, 31119.0)	(21.0, 35873.0)	(22.0, 44969.0)	(23.0, 59636.0)	(24.0, 74876.0)	(25.0, 94166.0)	(26.0, 116516.0)	(27.0, 144380.0)	(28.0, 178160.0)	(29.0, 223362.0)	(30.0, 283279.0)	(31.0, 368436.0)	(32.0, 505614.0)	(33.0, 751221.0)	(34.0, 1245394.0)	(35.0, 3048842.0)	(36.0, 37987610.0)
SRR5364317_1	(2.0, 169.0)	(3.0, 407.0)	(4.0, 694.0)	(5.0, 874.0)	(6.0, 1125.0)	(7.0, 1672.0)	(8.0, 2652.0)	(9.0, 4159.0)	(10.0, 5605.0)	(11.0, 6456.0)	(12.0, 7170.0)	(13.0, 7982.0)	(14.0, 9090.0)	(15.0, 10261.0)	(16.0, 11373.0)	(17.0, 12554.0)	(18.0, 14265.0)	(19.0, 15155.0)	(20.0, 17246.0)	(21.0, 19242.0)	(22.0, 22292.0)	(23.0, 27004.0)	(24.0, 34682.0)	(25.0, 46570.0)	(26.0, 63270.0)	(27.0, 86743.0)	(28.0, 117638.0)	(29.0, 159767.0)	(30.0, 215782.0)	(31.0, 296976.0)	(32.0, 424504.0)	(33.0, 649296.0)	(34.0, 1167564.0)	(35.0, 3286720.0)	(36.0, 36114633.0)
SRR5364317_2	(2.0, 16590.0)	(3.0, 17503.0)	(4.0, 17213.0)	(5.0, 14174.0)	(6.0, 12883.0)	(7.0, 12642.0)	(8.0, 13039.0)	(9.0, 14034.0)	(10.0, 14828.0)	(11.0, 15748.0)	(12.0, 16346.0)	(13.0, 17503.0)	(14.0, 18607.0)	(15.0, 19860.0)	(16.0, 21570.0)	(17.0, 23686.0)	(18.0, 26135.0)	(19.0, 28845.0)	(20.0, 32517.0)	(21.0, 37553.0)	(22.0, 47292.0)	(23.0, 62537.0)	(24.0, 80569.0)	(25.0, 101218.0)	(26.0, 124768.0)	(27.0, 154850.0)	(28.0, 188710.0)	(29.0, 234660.0)	(30.0, 295550.0)	(31.0, 381602.0)	(32.0, 514588.0)	(33.0, 759194.0)	(34.0, 1247728.0)	(35.0, 3006234.0)	(36.0, 35270816.0)
SRR5364318_1	(2.0, 195.0)	(3.0, 291.0)	(4.0, 552.0)	(5.0, 781.0)	(6.0, 1070.0)	(7.0, 1644.0)	(8.0, 2743.0)	(9.0, 4603.0)	(10.0, 6037.0)	(11.0, 6821.0)	(12.0, 7475.0)	(13.0, 8205.0)	(14.0, 9046.0)	(15.0, 10169.0)	(16.0, 11103.0)	(17.0, 12259.0)	(18.0, 13860.0)	(19.0, 15031.0)	(20.0, 16871.0)	(21.0, 18892.0)	(22.0, 21958.0)	(23.0, 26395.0)	(24.0, 33971.0)	(25.0, 46013.0)	(26.0, 61912.0)	(27.0, 85887.0)	(28.0, 117988.0)	(29.0, 161453.0)	(30.0, 221651.0)	(31.0, 305744.0)	(32.0, 441578.0)	(33.0, 687253.0)	(34.0, 1262297.0)	(35.0, 3731504.0)	(36.0, 36560455.0)
SRR5364318_2	(2.0, 14134.0)	(3.0, 15024.0)	(4.0, 15154.0)	(5.0, 12712.0)	(6.0, 11684.0)	(7.0, 11800.0)	(8.0, 12499.0)	(9.0, 13506.0)	(10.0, 14276.0)	(11.0, 15347.0)	(12.0, 15828.0)	(13.0, 16891.0)	(14.0, 17853.0)	(15.0, 19242.0)	(16.0, 20537.0)	(17.0, 22549.0)	(18.0, 24941.0)	(19.0, 27221.0)	(20.0, 30411.0)	(21.0, 35286.0)	(22.0, 43750.0)	(23.0, 57929.0)	(24.0, 73350.0)	(25.0, 92845.0)	(26.0, 115619.0)	(27.0, 143597.0)	(28.0, 177933.0)	(29.0, 220583.0)	(30.0, 280515.0)	(31.0, 362171.0)	(32.0, 492819.0)	(33.0, 728171.0)	(34.0, 1206433.0)	(35.0, 2947608.0)	(36.0, 36603489.0)
SRR5364321_1	(2.0, 142.0)	(3.0, 470.0)	(4.0, 834.0)	(5.0, 956.0)	(6.0, 1347.0)	(7.0, 1834.0)	(8.0, 3034.0)	(9.0, 4850.0)	(10.0, 6530.0)	(11.0, 7329.0)	(12.0, 7871.0)	(13.0, 8809.0)	(14.0, 9816.0)	(15.0, 11355.0)	(16.0, 12572.0)	(17.0, 13605.0)	(18.0, 14984.0)	(19.0, 16276.0)	(20.0, 17869.0)	(21.0, 20495.0)	(22.0, 23611.0)	(23.0, 27937.0)	(24.0, 35364.0)	(25.0, 46691.0)	(26.0, 63954.0)	(27.0, 87468.0)	(28.0, 118636.0)	(29.0, 160248.0)	(30.0, 217996.0)	(31.0, 297728.0)	(32.0, 422357.0)	(33.0, 640242.0)	(34.0, 1135109.0)	(35.0, 3049580.0)	(36.0, 36622981.0)
SRR5364321_2	(2.0, 13948.0)	(3.0, 15605.0)	(4.0, 15590.0)	(5.0, 13267.0)	(6.0, 11911.0)	(7.0, 12059.0)	(8.0, 12645.0)	(9.0, 13638.0)	(10.0, 14510.0)	(11.0, 15581.0)	(12.0, 16190.0)	(13.0, 17263.0)	(14.0, 18581.0)	(15.0, 19901.0)	(16.0, 21309.0)	(17.0, 23413.0)	(18.0, 25760.0)	(19.0, 27917.0)	(20.0, 30811.0)	(21.0, 35757.0)	(22.0, 44780.0)	(23.0, 58387.0)	(24.0, 73692.0)	(25.0, 91642.0)	(26.0, 113136.0)	(27.0, 140024.0)	(28.0, 172079.0)	(29.0, 214846.0)	(30.0, 271154.0)	(31.0, 350908.0)	(32.0, 476868.0)	(33.0, 709099.0)	(34.0, 1171185.0)	(35.0, 2855876.0)	(36.0, 35991548.0)
SRR5364323_1	(2.0, 150.0)	(3.0, 447.0)	(4.0, 875.0)	(5.0, 1086.0)	(6.0, 1429.0)	(7.0, 2092.0)	(8.0, 3185.0)	(9.0, 5256.0)	(10.0, 6938.0)	(11.0, 7776.0)	(12.0, 8607.0)	(13.0, 9688.0)	(14.0, 10562.0)	(15.0, 11966.0)	(16.0, 13348.0)	(17.0, 14828.0)	(18.0, 16298.0)	(19.0, 18032.0)	(20.0, 19922.0)	(21.0, 22218.0)	(22.0, 25940.0)	(23.0, 30935.0)	(24.0, 39132.0)	(25.0, 52200.0)	(26.0, 70725.0)	(27.0, 97083.0)	(28.0, 131762.0)	(29.0, 177451.0)	(30.0, 242202.0)	(31.0, 332688.0)	(32.0, 475681.0)	(33.0, 729772.0)	(34.0, 1303702.0)	(35.0, 3578550.0)	(36.0, 38258883.0)
SRR5364323_2	(2.0, 15036.0)	(3.0, 16904.0)	(4.0, 16546.0)	(5.0, 13636.0)	(6.0, 12792.0)	(7.0, 12388.0)	(8.0, 13304.0)	(9.0, 14521.0)	(10.0, 15213.0)	(11.0, 16427.0)	(12.0, 17041.0)	(13.0, 18447.0)	(14.0, 19276.0)	(15.0, 21023.0)	(16.0, 22538.0)	(17.0, 24817.0)	(18.0, 26968.0)	(19.0, 29177.0)	(20.0, 32642.0)	(21.0, 37511.0)	(22.0, 47136.0)	(23.0, 62026.0)	(24.0, 78522.0)	(25.0, 97673.0)	(26.0, 120141.0)	(27.0, 149409.0)	(28.0, 184699.0)	(29.0, 230304.0)	(30.0, 293353.0)	(31.0, 379650.0)	(32.0, 518523.0)	(33.0, 773673.0)	(34.0, 1283933.0)	(35.0, 3147228.0)	(36.0, 37958932.0)
