Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR5364316_1	(1.0, 23.79797956494283)	(2.0, 10.59789147599856)	(3.0, 6.458366344635583)	(4.0, 4.716976823852102)	(5.0, 3.737679000730218)	(6.0, 3.084425306690865)	(7.0, 2.5064238698548396)	(8.0, 2.2130606028243265)	(9.0, 1.9227549949544498)	('>10', 22.74928066416377)	('>50', 5.315528297629315)	('>100', 6.97972834711611)	('>500', 1.7509060888081467)	('>1k', 2.946730697072006)	('>5k', 0.6036365587094031)	('>10k+', 0.6186313620175428)
SRR5364316_2	(1.0, 25.78022849575162)	(2.0, 12.458125154570203)	(3.0, 7.688134265718909)	(4.0, 5.481191636300242)	(5.0, 4.207026591065052)	(6.0, 3.411241850395878)	(7.0, 2.776764533762125)	(8.0, 2.33645575591748)	(9.0, 1.8903610478237205)	('>10', 19.78591438884442)	('>50', 3.84474126662873)	('>100', 5.072414143660813)	('>500', 1.6305916677862204)	('>1k', 2.973826256523898)	('>5k', 0.5361207264544736)	('>10k+', 0.12686221879607676)
SRR5364317_1	(1.0, 26.09075472575921)	(2.0, 10.866840557360446)	(3.0, 6.648556671922363)	(4.0, 4.870191889353225)	(5.0, 3.73328350561752)	(6.0, 3.000304781704559)	(7.0, 2.53294776997797)	(8.0, 2.2044222193864105)	(9.0, 1.8430809146143103)	('>10', 21.29631978511585)	('>50', 4.803868963515147)	('>100', 6.340825184325183)	('>500', 1.7190677872832616)	('>1k', 3.0007988806932775)	('>5k', 0.5521258072138843)	('>10k+', 0.4966105561573426)
SRR5364317_2	(1.0, 27.37076740026892)	(2.0, 12.81660497988724)	(3.0, 7.887260226306565)	(4.0, 5.607643798200825)	(5.0, 4.254024248553579)	(6.0, 3.3236328916542766)	(7.0, 2.53235351506498)	(8.0, 2.2779473912906454)	(9.0, 1.8449745953055243)	('>10', 18.46613062625558)	('>50', 3.61266352569922)	('>100', 4.796403503636574)	('>500', 1.6494734086513116)	('>1k', 3.081982362700978)	('>5k', 0.4065219673208897)	('>10k+', 0.07161555920271513)
SRR5364318_1	(1.0, 24.159577543985165)	(2.0, 10.814004047301843)	(3.0, 6.481279334426571)	(4.0, 4.6640037330744395)	(5.0, 3.818024250725125)	(6.0, 3.1089882249550036)	(7.0, 2.5309113203815286)	(8.0, 2.191145116127923)	(9.0, 1.9314791220209033)	('>10', 21.74366661353375)	('>50', 5.03554962363895)	('>100', 6.582193067265867)	('>500', 1.8811747886522159)	('>1k', 3.566391596054496)	('>5k', 0.7300150432155983)	('>10k+', 0.7615965746407364)
SRR5364318_2	(1.0, 26.075303618418854)	(2.0, 12.35019706530547)	(3.0, 7.648159383019269)	(4.0, 5.5501206202938445)	(5.0, 4.230212216140892)	(6.0, 3.324511197725255)	(7.0, 2.734045655138973)	(8.0, 2.2305270561182833)	(9.0, 1.9442043227854195)	('>10', 18.813286151045414)	('>50', 3.6790549080752273)	('>100', 5.052100545596209)	('>500', 1.820269741128772)	('>1k', 3.603240102120832)	('>5k', 0.8110849972137254)	('>10k+', 0.13368241987350005)
SRR5364321_1	(1.0, 24.391434808501717)	(2.0, 11.200058923528703)	(3.0, 6.76567199306258)	(4.0, 4.951841637360041)	(5.0, 3.833994462501933)	(6.0, 3.1110566626368557)	(7.0, 2.5595239053515293)	(8.0, 2.19323400276601)	(9.0, 1.9241733411199873)	('>10', 22.13166780531798)	('>50', 5.11557162222738)	('>100', 6.460660555926701)	('>500', 1.726918464455443)	('>1k', 2.566053708312471)	('>5k', 0.5707401891467221)	('>10k+', 0.49739791778403164)
SRR5364321_2	(1.0, 27.110290714170965)	(2.0, 13.187631857400946)	(3.0, 7.988012788791998)	(4.0, 5.691941645535122)	(5.0, 4.158519533585949)	(6.0, 3.40009770227438)	(7.0, 2.782010721879926)	(8.0, 2.1786467667109153)	(9.0, 1.9373519256552254)	('>10', 18.792207004436786)	('>50', 3.5109695396424687)	('>100', 4.668071492469929)	('>500', 1.478783765546711)	('>1k', 2.582743320396918)	('>5k', 0.44575922983625504)	('>10k+', 0.08696199166568462)
SRR5364323_1	(1.0, 23.7391632882429)	(2.0, 10.6014950675569)	(3.0, 6.422178504715376)	(4.0, 4.555413652221442)	(5.0, 3.7689393702634058)	(6.0, 3.0132863588571217)	(7.0, 2.5933362751162226)	(8.0, 2.148992988690713)	(9.0, 1.8151113431722483)	('>10', 22.579120064542398)	('>50', 5.511188850462488)	('>100', 7.144919298487353)	('>500', 1.7761338065002992)	('>1k', 3.089296908044374)	('>5k', 0.5722970699316474)	('>10k+', 0.6691271531950682)
SRR5364323_2	(1.0, 25.901697504547737)	(2.0, 12.28738515471305)	(3.0, 7.638786408728915)	(4.0, 5.518494266672666)	(5.0, 4.13186446504039)	(6.0, 3.434127071226016)	(7.0, 2.7470829490820066)	(8.0, 2.281456779054192)	(9.0, 1.994318026394613)	('>10', 19.67174563217659)	('>50', 3.9551696155553624)	('>100', 5.10569098945017)	('>500', 1.6030700106766778)	('>1k', 2.9953613180439516)	('>5k', 0.6166650791679612)	('>10k+', 0.11708472946988169)
